name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors,region
SS Peter and Paul RC Primary Academy,Newbridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Spring Vale Primary School,Parkfields,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Springdale Primary School,Penn,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Stow Heath Primary School,Stow Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Stowlawn Primary School,Stowlawn,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Trinity CE Primary Academy,Heath Town,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Uplands Junior School,Finchfield,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Villiers Primary School,Stow Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Warstones Primary School,Warstones,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
West Park Primary School,Whitmore Reans,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Westacre Infant School,Finchfield,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Whitgreave Primary School,Low Hill,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Wilkinson Primary School,Bradley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Woden Primary School,Heath Town,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Wodensfield Primary School,Wood End,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Wood End Primary School,Wood End,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Woodfield Primary School,Bradmore,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Woodthorne Primary School,Tettenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
