name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Tittensor CE First School,Tittensor,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Tower View Primary School,Winshill,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Two Gates Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Tynsel Parkes Primary Academy,Uttoxeter,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Valley Primary School,Oakamoor,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Veritas Primary Academy,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Victoria Community School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Violet Way Academy,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Waterhouses CE Primary Academy,Waterhouses,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Werrington Primary School,Werrington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
West Hill Primary School,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Westfield Primary School,Wombourne,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Westlands Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Westwood First School,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Whittington Primary School,Whittington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The William Amory Primary School,Blythe Bridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
William MacGregor Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
William Shrewsbury Primary School,Stretton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Willows Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Wilnecote Junior Academy,Wilnecote,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Winshill Village Primary School,Winshill,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Wood Lane Primary School,Bignall End,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Woodcroft Academy,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Woodlands Community Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Woodseaves CE Primary Academy,Woodseaves,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Yoxall St Peter's CE Primary School,Yoxall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
