name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Dilhorme Endowed CE Primary School,Dilhorne,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Dosthill Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Dove Bank Primary School,Kidsgrove,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Dove CE Academy,Uttoxeter,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Doxey Primary School,Doxey,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Edge Hill Academy,Stapenhill,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Ellison Primary Academy,Wolstanton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Endon Hall Primary School,Endon,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Etching Hill CE Primary Academy,Rugeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Eton Park Junior,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Glenthorne Community Primary School,Cheslyn Hay,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Faber RC Primary School,Cotton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Featherstone Academy,Featherstone,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Five Spires Academy,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Five Ways Primary School,Heath Hayes,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Flash Ley Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Flax Hill Junior Academy,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Florendine Primary School,Amington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Foley Infant School Academy,Kinver,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Forest Hills Primary School,Rugeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Forsbrook CE Primary School,Blythe Bridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Fradley Park Primary School,Fradley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Fulfen Primary School,Burntwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Fulford Primary School,Fulford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Gentleshaw Primary Academy,Gentleshaw,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Glascote Academy,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Gnosall St Lawrence CE Primary Academy,Gnosall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Gorsemoor Primary School,Heath Hayes,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Grange School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Great Wood Community Primary School,Upper Tean,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Green Lea First School,Milwich,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Greysbrooke Primary School,Shenstone,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hanbury's Farm Community Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hassell Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Haughton St Giles CE Primary Academy,Haughton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Havergal CE Primary School,Shareshill,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hayes Meadow Primary School,Handsacre,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hazel Slade Primary Academy,Hazelslade,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Heath Hayes Primary Academy,Heath Hayes,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Heathfields Infant Academy,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hempstalls Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Henhurst Ridge Primary Academy,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Henry Chadwick Primary School,Rugeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Highfields Primary Academy,Burntwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hob Hill CE/Methodist Primary School,Brereton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
