name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors,region
Rushall Primary School,Rushall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Ryders Hayes School,Pelsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Anne's RC Primary School,Streetly,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Bernadette's RC Primary School,Brownhills,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Francis RC Primary School,Shelfield,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Giles CE Primary School,Willenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St James Primary School,Brownhills,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St John's CE Primary School,Walsall Wood,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Joseph's RC Primary School,Darlaston,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Mary of the Angels RC Primary School,Aldridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Mary's The Mount RC Primary School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Michael's CE Primary School,Pelsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Patrick's RC Primary School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Peter's RC Primary School,Bloxwich,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
St Thomas of Canterbury RC Primary School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Salisbury Primary School,Darlaston,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Short Heath Junior School,Short Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Sunshine Infant School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Walsall Wood School,Walsall Wood,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Watling Street Primary School,Brownhills,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Whetstone Field Primary School,Aldridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Whitehall Infant School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Whitehall Junior Community School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Woodlands Academy of Learning,Short Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Woods Bank Academy,Darlaston,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
